2025-07-15 03:01:52,184 - DEBUG - 日志配置完毕
2025-07-15 03:01:52,184 - DEBUG - ============================================================
2025-07-15 03:01:53,659 - INFO - tokens per iteration will be: 491,520
2025-07-15 03:01:53,659 - INFO - found vocab_size = 3075 (inside data\meta.pkl)
2025-07-15 03:01:53,659 - INFO - Initializing a new model from scratch
2025-07-15 03:02:33,584 - INFO - step 0: train loss 8.1719, val loss 8.1681
2025-07-15 03:02:45,151 - INFO - iter 0: loss 8.1662, time 50520.31ms, mfu -100.00%
2025-07-15 03:02:56,612 - INFO - iter 1: loss 8.1486, time 11460.67ms, mfu -100.00%
2025-07-15 03:03:08,019 - INFO - iter 2: loss 8.1242, time 11407.07ms, mfu -100.00%
2025-07-15 03:03:19,405 - INFO - iter 3: loss 8.0584, time 11386.08ms, mfu -100.00%
2025-07-15 03:03:30,841 - INFO - iter 4: loss 8.0027, time 11434.68ms, mfu -100.00%
2025-07-15 03:03:42,274 - INFO - iter 5: loss 7.9116, time 11432.26ms, mfu 8.78%
2025-07-15 03:03:53,644 - INFO - iter 6: loss 7.8462, time 11367.12ms, mfu 8.78%
2025-07-15 03:04:04,991 - INFO - iter 7: loss 7.7393, time 11347.51ms, mfu 8.79%
2025-07-15 03:04:16,487 - INFO - iter 8: loss 7.6819, time 11497.90ms, mfu 8.78%
2025-07-15 03:04:27,981 - INFO - iter 9: loss 7.5795, time 11495.89ms, mfu 8.78%
2025-07-15 03:04:39,478 - INFO - iter 10: loss 7.5449, time 11496.09ms, mfu 8.77%
2025-07-15 03:04:50,863 - INFO - iter 11: loss 7.4476, time 11383.52ms, mfu 8.78%
2025-07-15 03:05:02,239 - INFO - iter 12: loss 7.4039, time 11377.54ms, mfu 8.78%
2025-07-15 03:05:13,685 - INFO - iter 13: loss 7.3501, time 11444.48ms, mfu 8.78%
2025-07-15 03:05:25,066 - INFO - iter 14: loss 7.2961, time 11383.80ms, mfu 8.79%
2025-07-15 03:05:36,481 - INFO - iter 15: loss 7.2249, time 11409.79ms, mfu 8.79%
2025-07-15 03:05:47,868 - INFO - iter 16: loss 7.2269, time 11390.42ms, mfu 8.79%
2025-07-15 03:05:59,227 - INFO - iter 17: loss 7.1774, time 11361.13ms, mfu 8.79%
2025-07-15 03:06:10,616 - INFO - iter 18: loss 7.1426, time 11388.72ms, mfu 8.80%
2025-07-15 03:06:21,967 - INFO - iter 19: loss 7.1561, time 11348.42ms, mfu 8.80%
2025-07-15 03:06:33,310 - INFO - iter 20: loss 7.1157, time 11347.25ms, mfu 8.81%
2025-07-15 03:06:44,662 - INFO - iter 21: loss 7.0670, time 11347.97ms, mfu 8.81%
2025-07-15 03:06:56,138 - INFO - iter 22: loss 7.0131, time 11474.16ms, mfu 8.80%
2025-07-15 03:07:07,488 - INFO - iter 23: loss 7.0520, time 11352.38ms, mfu 8.81%
2025-07-15 03:07:18,934 - INFO - iter 24: loss 6.9800, time 11447.45ms, mfu 8.80%
2025-07-15 03:07:30,405 - INFO - iter 25: loss 6.9484, time 11471.39ms, mfu 8.80%
2025-07-15 03:07:41,850 - INFO - iter 26: loss 6.9238, time 11446.90ms, mfu 8.79%
2025-07-15 03:07:53,390 - INFO - iter 27: loss 6.9514, time 11532.91ms, mfu 8.79%
2025-07-15 03:08:04,804 - INFO - iter 28: loss 6.8789, time 11416.29ms, mfu 8.79%
2025-07-15 03:08:16,234 - INFO - iter 29: loss 6.8878, time 11433.00ms, mfu 8.79%
2025-07-15 03:08:27,726 - INFO - iter 30: loss 6.8366, time 11490.78ms, mfu 8.78%
2025-07-15 03:08:39,202 - INFO - iter 31: loss 6.7988, time 11471.87ms, mfu 8.78%
2025-07-15 03:08:50,589 - INFO - iter 32: loss 6.7747, time 11391.03ms, mfu 8.78%
2025-07-15 03:09:01,954 - INFO - iter 33: loss 6.6858, time 11366.34ms, mfu 8.79%
2025-07-15 03:09:13,316 - INFO - iter 34: loss 6.6602, time 11363.27ms, mfu 8.79%
2025-07-15 03:09:24,678 - INFO - iter 35: loss 6.5947, time 11358.52ms, mfu 8.80%
2025-07-15 03:09:36,039 - INFO - iter 36: loss 6.5474, time 11359.49ms, mfu 8.80%
2025-07-15 03:09:47,466 - INFO - iter 37: loss 6.5704, time 11432.91ms, mfu 8.80%
2025-07-15 03:09:58,816 - INFO - iter 38: loss 6.4405, time 11346.73ms, mfu 8.80%
2025-07-15 03:10:10,232 - INFO - iter 39: loss 6.5041, time 11414.66ms, mfu 8.80%
2025-07-15 03:10:21,597 - INFO - iter 40: loss 6.3994, time 11365.70ms, mfu 8.80%
2025-07-15 03:10:32,974 - INFO - iter 41: loss 6.3579, time 11379.14ms, mfu 8.81%
